M,Description,ra_hour_decimal,dec_deg_decimal
1,NGC 1952 Crab Nebula Supernova Remnant Taurus,5.56805555555556,22.0166666666667
2,NGC 7089 Globular Cluster Aquarius,21.5513888888889,-0.816666666666667
3,NGC 5272 Globular Cluster Canes Venatici,13.7005555555556,28.3833333333333
4,NGC 6121 Globular Cluster Scorpius,16.385,-26.5333333333333
5,NGC 5904 Globular Cluster Serpens Caput,15.3016666666667,2.08333333333333
6,NGC 6405 Butterfly Cluster Open Cluster Scorpius,17.6669444444444,-32.2166666666667
7,NGC 6475 Ptolemy¹s Cluster Open Cluster Scorpius,17.8858333333333,-34.8166666666667
8,NGC 6523 Lagoon Nebula Diffuse Nebula Sagittarius,18.0522222222222,-24.3833333333333
9,NGC 6333 Globular Cluster Ophiucus,17.3172222222222,-18.5166666666667
10,NGC 6254 Globular Cluster Ophiucus,16.9502777777778,-4.1
11,NGC 6705 Wild Duck Cluster Open Cluster Scutum,18.8502777777778,-6.26666666666667
12,NGC 6218 Globular Cluster Ophiucus,16.7838888888889,-1.95
13,NGC 6205 Hercules Globular Cluster Globular Cluster Hercules,16.6852777777778,36.4666666666667
14,NGC 6402 Globular Cluster Ophiucus,17.6183333333333,-3.25
15,NGC 7078 Globular Cluster Pegasus,21.5,12.1666666666667
16,NGC 6611 Eagle Nebula Cluster Open Cluster Serpens Claudia,18.3022222222222,-13.7833333333333
17,NGC 6618 Omega Swan Horseshoe Nebula Diffuse Nebula Sagittarius,18.3355555555556,-16.1833333333333
18,NGC 6613 Open Cluster Sagittarius,18.3191666666667,-17.1333333333333
19,NGC 6273 Globular Cluster Ophiucus,17.035,-26.2666666666667
20,NGC 6514 Trifid Nebula Diffuse Nebula Sagittarius,18.0341666666667,-23.0333333333333
21,NGC 6531 Open Cluster Sagittarius,18.0683333333333,-22.5
22,NGC 6656 Globular Cluster Sagittarius,18.6011111111111,-23.9
23,NGC 6494 Open Cluster Sagittarius,17.9355555555556,-19.0166666666667
24,NGC 6603 Milky Way Patch Star Cloud Sagittarius,18.3011111111111,-18.4166666666667
25,IC 4725 Open Cluster Sagittarius,18.5186111111111,-19.2333333333333
26,NGC 6694 Open Cluster Scutum,18.7505555555556,-9.4
27,NGC 6853 Dumbbell Nebula Planetary Nebula Vulpecula,19.985,22.7166666666667
28,NGC 6626 Globular Cluster Sagittarius,18.4013888888889,-24.8666666666667
29,NGC 6913 Open Cluster Cygnus,20.3858333333333,38.5333333333333
30,NGC 7099 Globular Cluster Capricornus,21.6677777777778,-23.1833333333333
31,NGC 224 Andromeda Galaxy Spiral Galaxy Andromeda,0.701944444444444,41.2666666666667
32,NGC 221 Satellite of M31 Elliptical Galaxy Andromeda,0.701944444444444,40.8666666666667
33,NGC 598 Triangulum/Pinwheel Galaxy Spiral Galaxy Triangulum,1.5525,30.65
34,NGC 1039 Open Cluster Perseus,2.7,42.7833333333333
35,NGC 2168 Open Cluster Gemini,6.13583333333333,24.3333333333333
36,NGC 1960 Open Cluster Auriga,5.60027777777778,34.1333333333333
37,NGC 2099 Open Cluster Auriga,5.86777777777778,32.55
38,NGC 1912 Open Cluster Auriga,5.46861111111111,35.8333333333333
39,NGC 7092 Open Cluster Cygnus,21.5338888888889,48.4333333333333
40,Winecke 4 Double Star Ursa Major,12.3672222222222,58.0833333333333
41,NGC 2287 Open Cluster Canis Major,6.78333333333333,-20.7333333333333
42,NGC 1976 Great Orion Nebula Diffuse Nebula Orion,5.58444444444444,-5.45
43,NGC 1982 de Mairan¹s Nebula Diffuse Nebula Orion,5.585,-5.26666666666667
44,NGC 2632 Beehive Cluster (Praesepe) Open Cluster Cancer,8.66694444444444,19.9833333333333
45,Pleiades  Subaru Seven Sisters Open Cluster Taurus,3.78333333333333,24.12
46,NGC 2437 Open Cluster Puppis,7.68555555555556,-14.8166666666667
47,NGC 2422 Open Cluster Puppis,7.60166666666667,-14.5
48,NGC 2548 Open Cluster Hydra,8.21888888888889,-5.8
49,NGC 4472 Elliptical Galaxy Virgo,12.4855555555556,8
50,NGC 2323 Open Cluster Monocerus,7.05055555555556,-8.33333333333333
51,NGC 5194 Whirlpool Galaxy Spiral Galaxy Canes Venatici,13.4858333333333,47.2
52,NGC 7654 Open Cluster Cassiopeia,23.4005555555556,61.5833333333333
53,NGC 5024 Globular Cluster Coma Berenices,13.2025,18.1666666666667
54,NGC 6715 Globular Cluster Sagittarius,18.9169444444444,-30.4833333333333
55,NGC 6809 Globular Cluster Sagittarius,19.6666666666667,-30.9666666666667
56,NGC 6779 Globular Cluster Lyra,19.2683333333333,30.1833333333333
57,NGC 6720 Ring Nebula Planetary Nebula Lyra,18.885,33.0333333333333
58,NGC 4579 Spiral Galaxy Virgo,12.6186111111111,11.8166666666667
59,NGC 4621 Elliptical Galaxy Virgo,12.7,11.65
60,NGC 4649 Elliptical Galaxy Virgo,12.7186111111111,11.55
61,NGC 4303 Spiral Galaxy Virgo,12.3525,4.46666666666667
62,NGC 6266 Globular Cluster Ophiucus,17.0172222222222,-30.1166666666667
63,NGC 5055 Sunflower Galaxy Spiral Galaxy Canes Venatici,13.2522222222222,42.0333333333333
64,NGC 4826 Blackeye Galaxy Spiral Galaxy Coma Berenices,12.9352777777778,21.6833333333333
65,NGC 3623 Spiral Galaxy Leo,11.3025,13.0833333333333
66,NGC 3627 Spiral Galaxy Leo,11.3338888888889,12.9833333333333
67,NGC 2682 Open Cluster Cancer,8.83444444444445,11.8166666666667
68,NGC 4590 Globular Cluster Hydra,12.6513888888889,-26.75
